name,label,group,n_used,verdict,p_structure,p_boot,dim2,atom,z_cyc3,z_cyc7,z_cyc8,z_cyc12,z_hash,acf,pe,fft,quantized,uniq_ratio,source,note
eeg_setA_07,unknown,eeg,4097,Noise,0.0033222591362126247,1.0,nan,0.7871711669950169,47.9049834540698,71.19933886066678,70.67367089202827,45.6505987700937,3.1499986967594786,0.35361392762866634,0.8571448068947453,0.03931270632995711,True,0.04930436905052477,Bonn setA Z008.txt,healthy_eyes_open
eeg_setA_08,unknown,eeg,4097,Noise,0.0033222591362126247,0.97,nan,0.7094751509521597,29.06559214901408,44.49336852695102,44.00449284872405,26.40611822857344,0.48748675618573384,0.21739607704123376,0.9387748866950999,0.04328321232312621,True,0.04661947766658531,Bonn setA Z009.txt,healthy_eyes_open
eeg_setA_09,unknown,eeg,4097,Noise,0.0033222591362126247,0.56,nan,0.7399261431519496,47.20393302489448,70.99884659754821,74.65354814053855,43.33807890469618,1.939258938899691,0.35682853831426187,0.887297980756502,0.044832513590630695,True,0.062484744935318526,Bonn setA Z010.txt,healthy_eyes_open
eeg_setA_10,unknown,eeg,4097,Noise,0.0033222591362126247,1.0,nan,0.7618257261410788,32.32505953505547,51.94042498417739,49.0061769431511,29.219927359024357,1.1808053092569588,0.22251271157720554,0.9353433394523426,0.06256920394442822,True,0.05638271906272883,Bonn setA Z011.txt,healthy_eyes_open
eeg_setA_11,unknown,eeg,4097,Noise,0.0033222591362126247,0.5,nan,0.7426784033659968,43.41031091257766,62.02044287622927,66.51987205707448,40.10825570495135,-0.3764050068744769,0.26390138300926236,0.9107669255786621,0.06612818176273429,True,0.059555772516475466,Bonn setA Z012.txt,healthy_eyes_open
eeg_setA_12,unknown,eeg,4097,Chaos,0.0033222591362126247,0.04,nan,0.7016939420040196,47.279514202926855,69.04728174985216,70.1712959970868,44.56988344671552,1.8117089070463048,0.30888933152550063,0.915225078350314,0.049591803565047284,True,0.04637539663168172,Bonn setA Z013.txt,healthy_eyes_open
eeg_setA_13,unknown,eeg,4097,Noise,0.0033222591362126247,0.35,nan,0.7292974507342104,50.43338451675284,77.68934824869517,74.79750552897447,47.32074441251549,1.3681388488771287,0.33892466129290244,0.8976185658973506,0.04780662009844728,True,0.06346106907493287,Bonn setA Z014.txt,healthy_eyes_open
eeg_setA_14,unknown,eeg,4097,Noise,0.0033222591362126247,0.98,nan,0.6873061249315735,30.04477813188758,41.87619587529613,42.59505807094328,26.905148628349714,0.43028458265569103,0.2967027097040232,0.9500147492586538,0.05791764703565041,True,0.04247010007322431,Bonn setA Z015.txt,healthy_eyes_open
eeg_setA_15,unknown,eeg,4097,Noise,0.0033222591362126247,0.68,nan,0.8109847672173353,41.06076168510329,60.33464786448603,60.18146656448897,38.63210327454813,2.168742482461023,0.3253818891629901,0.9128645430063066,0.032336878437429564,True,0.06761044666829387,Bonn setA Z016.txt,healthy_eyes_open
eeg_setA_16,unknown,eeg,4097,Noise,0.0033222591362126247,0.05,nan,0.6971806063465849,36.16847262350626,53.47838089362022,53.31743652463386,34.30562962538572,0.46576334436825473,0.22737584109269462,0.9310238121789183,0.050182435149545165,True,0.04637539663168172,Bonn setA Z017.txt,healthy_eyes_open
eeg_setA_17,unknown,eeg,4097,Noise,0.0033222591362126247,1.0,nan,0.8251659816629782,42.715224607810434,64.65149331683259,59.25316153706613,36.94445646733974,-0.6273471384721188,0.40280749456918363,0.847166133500163,0.027128563334902538,True,0.07664144495972663,Bonn setA Z018.txt,healthy_eyes_open
eeg_setA_18,unknown,eeg,4097,Noise,0.0033222591362126247,0.61,nan,0.684437201722733,45.859911196211414,65.00425822247664,65.85544298338299,41.496116506621526,1.331750279200925,0.2787928704443329,0.9146280427152741,0.0458177599374149,True,0.04613131559677813,Bonn setA Z019.txt,healthy_eyes_open
eeg_setA_19,unknown,eeg,4097,Noise,0.0033222591362126247,0.18,nan,0.7355565126438196,32.03279722566257,47.96353260868404,49.94623416071693,29.76077483121369,0.7680568296458947,0.33345755953992384,0.9311817448862603,0.047399334138469286,True,0.03954112765438125,Bonn setA Z020.txt,healthy_eyes_open
eeg_setB_00,unknown,eeg,4097,Noise,0.0033222591362126247,0.51,nan,0.8305328852616418,50.52595725525991,74.1348069036261,77.45062769743775,49.016912446861944,0.8002148663588711,0.33238051057862744,0.8953864873249345,0.08599903659708664,True,0.07273614840126923,Bonn setB O001.txt,healthy_eyes_closed
eeg_setB_01,unknown,eeg,4097,Noise,0.0033222591362126247,0.25,nan,0.8095848009392678,59.9635989065029,89.54374058470603,92.3746417860377,57.00418016996383,1.137062167305386,0.3798112063395503,0.83155636143368,0.08158335878668366,True,0.06883085184281182,Bonn setB O002.txt,healthy_eyes_closed
eeg_setB_02,unknown,eeg,4097,Noise,0.0033222591362126247,0.94,nan,0.8372263923153641,63.537186636279436,96.55647880356162,100.27080938277632,62.53824247648435,2.293889280530048,0.3962716829034913,0.8160410617278393,0.06105228162337902,True,0.08030266048328046,Bonn setB O003.txt,healthy_eyes_closed
eeg_setB_03,unknown,eeg,4097,Noise,0.0033222591362126247,0.54,nan,0.8697234352256187,69.69811930378523,104.79749149310283,108.02905948941505,66.2397210703157,1.1138562100861429,0.45582218050599466,0.7809579024889799,0.07408812353702146,True,0.08420795704173786,Bonn setB O004.txt,healthy_eyes_closed
eeg_setB_04,unknown,eeg,4097,Noise,0.0033222591362126247,0.83,nan,0.8680463663790822,72.36154138003093,109.47425501864548,114.91124045795142,71.60601797368757,1.69144929619797,0.5392053317834998,0.7959119865751713,0.12894029234582513,True,0.0790822553087625,Bonn setB O005.txt,healthy_eyes_closed
eeg_setB_05,unknown,eeg,4097,Noise,0.0033222591362126247,0.98,nan,0.8559825883851789,45.677729819134115,70.07153985597354,71.07334946913583,45.38046194822099,2.632595113337036,0.3955204090020939,0.8945961299216052,0.07294452164632752,True,0.07493287771540151,Bonn setB O006.txt,healthy_eyes_closed
eeg_setB_06,unknown,eeg,4097,Noise,0.0033222591362126247,0.47,nan,0.8340663320743001,70.06177901473255,104.1492460499272,107.35376526190245,67.2612011228515,1.6240565468423986,0.5041573405035257,0.8350879916912438,0.09691992960401079,True,0.11081278984622894,Bonn setB O007.txt,healthy_eyes_closed
eeg_setB_07,unknown,eeg,4097,Noise,0.0033222591362126247,0.82,nan,0.8329777019097407,61.199108695222066,89.78541801048752,93.40535716966326,58.45226679274978,0.9526879398835525,0.33233385884363464,0.8264888104471942,0.05315087182539548,True,0.0710275811569441,Bonn setB O008.txt,healthy_eyes_closed
eeg_setB_08,unknown,eeg,4097,Noise,0.0033222591362126247,1.0,nan,0.8282655023649877,62.09458294786898,94.47890064226527,95.26457350102605,60.35941637200333,0.5123403512402682,0.46406756125675025,0.842426704702602,0.10857593225069807,True,0.08664876739077373,Bonn setB O009.txt,healthy_eyes_closed
eeg_setB_09,unknown,eeg,4097,Noise,0.0033222591362126247,0.3,nan,0.901972904754546,80.81258095356716,118.04583427182365,124.57169970021934,78.96867841813518,2.469988740730244,0.6439727839738836,0.7252661033545381,0.16182737807478623,True,0.11325360019526483,Bonn setB O010.txt,healthy_eyes_closed
eeg_setB_10,unknown,eeg,4097,Noise,0.0033222591362126247,0.45,nan,0.8961728904476997,85.95399622305347,124.17039152205625,131.2784702772179,82.15699217844563,1.2797115986756307,0.6953705079867109,0.7106155119781618,0.19875841104707678,True,0.126189895045155,Bonn setB O011.txt,healthy_eyes_closed
eeg_setB_11,unknown,eeg,4097,Noise,0.0033222591362126247,0.88,nan,0.8718679427895473,56.88832850161893,84.81882429516406,88.89168256270129,55.340811221048426,1.7377415575142376,0.38485807327501714,0.7822109533740463,0.12022032539367669,True,0.06492555528435441,Bonn setB O012.txt,healthy_eyes_closed
eeg_setB_12,unknown,eeg,4097,Noise,0.0033222591362126247,0.88,nan,0.8750854318910678,67.44411649257181,99.89970723579677,102.72157621678058,65.56657816926587,2.370386171198104,0.45457063947215387,0.7689123565592992,0.11709814754181519,True,0.07566512082011227,Bonn setB O013.txt,healthy_eyes_closed
